spec,outcome,term,nobs,n_teams,n_weeks,coef,se,tstat,pvalue,ci_low_95,ci_high_95,r2_within
alt_outcome_merged_pr_share,junior_merged_pr_share,treated,1440,48,30,0.05023023139156768,0.016937463562224517,2.9656288975638447,0.003073247498310838,0.017003886108915407,0.08345657667421996,0.021632340378462844
alt_outcome_ticket_share,junior_ticket_share,treated,1440,48,30,0.06922614171733062,0.013689978671185266,5.0567019408903935,4.846698726801435e-07,0.04237041113111492,0.09608187230354631,0.03684340185243373
weighted_by_total_output,junior_output_share,treated,1440,48,30,0.05839521621516394,0.009818652206410271,5.947375972543324,3.458363817543386e-09,0.03913389487139031,0.07765653755893757,0.06605148689059437
winsorized_outcome_1pct,junior_output_share_winsor,treated,1440,48,30,0.059858697922806604,0.010837918873992219,5.523080456567143,3.984913665711076e-08,0.038597873754554084,0.08111952209105913,0.056254451840674013
placebo_lead_window,junior_output_share,treated,1440,48,30,0.0637160996790047,0.012811350948950518,4.973409902897415,7.416583662767096e-07,0.03858396305259393,0.08884823630541547,0.05472557581280735
placebo_lead_window,junior_output_share,lead4_treated,1440,48,30,0.005469524689387477,0.009286280970423144,0.5889897911562166,0.5559658645208723,-0.012747452039286965,0.02368650141806192,0.05472557581280735
