event_time,n_team_weeks
-21.0,1
-20.0,2
-19.0,3
-18.0,4
-17.0,6
-16.0,10
-15.0,16
-14.0,18
-13.0,22
-12.0,22
-11.0,25
-10.0,26
-9.0,29
-8.0,31
-7.0,34
-6.0,34
-5.0,34
-4.0,34
-3.0,34
-2.0,34
-1.0,34
0.0,34
1.0,34
2.0,34
3.0,34
4.0,34
5.0,34
6.0,34
7.0,34
8.0,34
9.0,33
10.0,32
11.0,31
12.0,30
13.0,28
14.0,24
15.0,18
16.0,16
17.0,12
18.0,12
19.0,9
20.0,8
21.0,5
22.0,3
