,junior_output_share,treated,total_output,total_merged_prs,total_completed_tickets,junior_merged_pr_share,junior_ticket_share
junior_output_share,1.0,0.0902142167374011,0.42819874176903394,0.3948775528482466,0.41039075170690004,0.8327506017611627,0.884419071533418
treated,0.0902142167374011,1.0,0.12698767021651736,0.12909066181154102,0.1115439580239583,0.07471791964775165,0.08256944485300453
total_output,0.42819874176903394,0.12698767021651736,1.0,0.9310270308206229,0.9509124568281101,0.35506306096929763,0.379237107035892
total_merged_prs,0.3948775528482466,0.12909066181154102,0.9310270308206229,1.0,0.7723876995050541,0.3296399454990212,0.3497492631730702
total_completed_tickets,0.41039075170690004,0.1115439580239583,0.9509124568281101,0.7723876995050541,1.0,0.33842533306326666,0.36344558982015085
junior_merged_pr_share,0.8327506017611627,0.07471791964775165,0.35506306096929763,0.3296399454990212,0.33842533306326666,1.0,0.49765594601721064
junior_ticket_share,0.884419071533418,0.08256944485300453,0.379237107035892,0.3497492631730702,0.36344558982015085,0.49765594601721064,1.0
