term,event_time,coef,se,tstat,pvalue,ci_low_95,ci_high_95,n_event_team_weeks
event_m6,-6,-0.012283175449035302,0.023484029715858386,-0.5230437704965376,0.6009437939068212,-0.05831102790398614,0.03374467700591553,34
event_m5,-5,-0.000442509277155001,0.026182594199167478,-0.016900895067497604,0.9865156787091102,-0.051759450929350595,0.05087443237504059,34
event_m4,-4,-0.02337307965748421,0.025814612467219195,-0.9054205127876557,0.3652426526356819,-0.07396879036809251,0.02722263105312408,34
event_m3,-3,0.0013506416531126192,0.024749570143203503,0.0545723277332766,0.9564791851649262,-0.04715762446041408,0.049858907766639315,34
event_m2,-2,-0.006351497147316414,0.02537263233691384,-0.25032866369469364,0.8023331915366203,-0.056080942720643887,0.04337794842601106,34
event_p0,0,0.045653402921503355,0.023466990465810408,1.9454306673033697,0.051723166754550215,-0.0003410532170298672,0.09164785906003658,34
event_p1,1,0.05165742657766393,0.023337250518169754,2.2135181064900875,0.02686194632758686,0.005917256063862501,0.09739759709146537,34
event_p2,2,0.07264143095280196,0.022885116141063786,3.174177946270423,0.0015026153871092775,0.02778742753430067,0.11749543437130325,34
event_p3,3,0.05768404620418165,0.02521872847630831,2.2873495092495575,0.02217543085287534,0.008256246654722688,0.10711184575364062,34
event_p4,4,0.04466866861926755,0.020685771769529623,2.1593909628774406,0.030819848415076914,0.004125300958574107,0.08521203627996099,34
event_p5,5,0.03909707414783009,0.020268427925912633,1.9289643129078375,0.0537352927242017,-0.0006283146102045375,0.07882246290586473,34
event_p6,6,0.051402257719140615,0.025118108362744748,2.0464223251532982,0.040714837431692116,0.0021716699683865665,0.10063284546989466,34
event_p7,7,0.04522612665845217,0.02589837795468637,1.746291861891235,0.08076024927139015,-0.005533761390739217,0.09598601470764356,34
event_p8,8,0.07274385632663549,0.022358375277024015,3.2535394645329516,0.0011397689248420389,0.02892224603083767,0.1165654666224333,34
