,junior_output_share,treated,total_output,total_merged_prs,total_completed_tickets,junior_merged_pr_share,junior_ticket_share
junior_output_share,1.0,,-0.023485569615051004,-0.2768248133643893,0.10810246793029761,0.9999999999999999,1.0
treated,,,,,,,
total_output,-0.023485569615051004,,1.0,0.8689733629316375,0.9604925362034432,0.07049073768502412,0.028976379389987175
total_merged_prs,-0.2768248133643893,,0.8689733629316375,1.0,0.6969203644793659,-0.17770466332772772,-0.2545875386086579
total_completed_tickets,0.10810246793029761,,0.9604925362034432,0.6969203644793659,1.0,0.15185132047305933,0.171685708586216
junior_merged_pr_share,0.9999999999999999,,0.07049073768502412,-0.17770466332772772,0.15185132047305933,1.0,1.0
junior_ticket_share,1.0,,0.028976379389987175,-0.2545875386086579,0.171685708586216,1.0,1.0
