variable,n,missing_rate,mean,std,min,p25,median,p75,max
junior_output_share,8,0.6666666666666666,0.925,0.21213203435596423,0.4,1.0,1.0,1.0,1.0
junior_merged_pr_share,6,0.75,0.8888888888888888,0.2721655269759087,0.3333333333333333,1.0,1.0,1.0,1.0
junior_ticket_share,7,0.7083333333333334,0.9285714285714286,0.18898223650461363,0.5,1.0,1.0,1.0,1.0
treated,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_output,24,0.0,1.5833333333333333,3.2958032163009534,0.0,0.0,0.0,1.25,14.0
total_merged_prs,24,0.0,0.625,1.2790111669635225,0.0,0.0,0.0,0.25,4.0
total_completed_tickets,24,0.0,0.9583333333333334,2.274225461398971,0.0,0.0,0.0,1.0,10.0
adoption_week,0,1.0,,,,,,,
event_time,0,1.0,,,,,,,
