model,outcome,term,coef,se,tstat,pvalue,ci_low_95,ci_high_95,nobs,n_teams,n_weeks,r2
robust_no_controls,junior_output_share,treated,-0.017890506847084153,0.06042959016755511,-0.2960554059274365,0.7671877690452399,-0.13633032717600793,0.10054931348183963,68,9,11,0.45951498880274577
robust_full_controls,junior_output_share,treated,-0.04890169140064747,0.11322336623572343,-0.43190458848253493,0.6658107597276285,-0.2708154114310538,0.17301202862975884,68,9,11,0.4910405558924156
robust_alt_outcome_merged_share,junior_merged_pr_share,treated,0.014866178150648307,0.061297914168911,0.24252339336838508,0.8083746325248006,-0.10527552594784473,0.13500788224914134,51,8,11,0.32606817780442365
robust_alt_outcome_ticket_share,junior_ticket_share,treated,-0.06985976836266646,0.06743226963016954,-1.0359990661119738,0.3002025782007579,-0.20202458823359282,0.06230505150825992,49,8,11,0.6186774358911051
robust_winsorized_outcome,junior_output_share_winsor,treated,-0.07287713078859412,0.09573019067149541,-0.7612763567835866,0.4464920193531712,-0.2605048567378774,0.11475059516068914,68,9,11,0.46681141368324186
robust_placebo_lead,junior_output_share,treated,-0.3290006715337406,0.10419534830414301,-3.1575370387303447,0.0015910802258871791,-0.5332198015664675,-0.12478154150101367,68,9,11,0.5281210888160225
robust_placebo_lead,junior_output_share,lead2_treated,-0.46204540943605027,0.0392385655633176,-11.775287980149717,5.233805431561509e-32,-0.5389515847451664,-0.3851392341269342,68,9,11,0.5281210888160225
robust_high_output_subsample,junior_output_share,treated,-0.026294430294704574,0.3547689325037794,-0.07411706010763627,0.9409172405939323,-0.7216287608358335,0.6690399002464243,26,7,10,0.711217052513643
