proxy,term,event_time,coef,se,pvalue,ci_low_95,ci_high_95,n_event_team_weeks
strict,event_m6,-6,0.3273794632232738,0.23253834837334875,0.15917504612708566,-0.12838732461291796,0.7831462510594656,2
strict,event_m5,-5,0.42128028623765007,0.13720100101708324,0.0021367662879564343,0.15237126560132358,0.6901893068739766,3
strict,event_m4,-4,0.4797642916328082,0.2979137438105159,0.10730763236431083,-0.10413591673529543,1.063664500000912,3
strict,event_m3,-3,-0.18519758330125433,0.14682963307338662,0.20719742793205187,-0.47297837598832326,0.10258320938581458,3
strict,event_m2,-2,0.07917571567167254,0.11489564861719555,0.49075418304326046,-0.14601561759839998,0.3043670489417451,6
strict,event_p0,0,0.4100752905947871,0.232677978804727,0.07799911137062972,-0.04596516785805188,0.8661157490476261,7
strict,event_p1,1,0.30413396231308765,0.14514899252921373,0.036142326056271344,0.019647164563555364,0.5886207600626199,7
strict,event_p2,2,0.21449614249593035,0.2161347726699607,0.32099342801045716,-0.20912022774394462,0.6381125127358054,7
strict,event_p3,3,0.22515469789087983,0.1521215898626366,0.13884738119523762,-0.07299813951086132,0.523307535292621,6
strict,event_p4,4,0.23732376424576945,0.15088431887866366,0.11574532257355105,-0.0584040665882683,0.5330515950798072,6
strict,event_p5,5,0.20929672408881728,0.10166187918375434,0.039517882291938464,0.010043102287996541,0.408550345889638,8
strict,event_p6,6,0.18810313558364117,0.14174727790552058,0.1844981863771581,-0.0897164240177693,0.46592269518505164,5
strict,event_p7,7,0.3761643524231648,0.19346999122470382,0.05185888069895533,-0.0030298624665349716,0.7553585673128647,8
strict,event_p8,8,0.2555169623740909,0.12127123404857702,0.03511867159248946,0.017829711278152388,0.4932042134700294,7
balanced,event_m6,-6,-0.03142682930138102,0.08954738302405262,0.725624391538283,-0.20693647493833758,0.14408281633557554,2
balanced,event_m5,-5,-0.2840817748417026,0.2705064455446866,0.2936331269390764,-0.8142646656952337,0.2461011160118285,3
balanced,event_m4,-4,-0.056998072781835885,0.1112874995672614,0.6085323256166055,-0.2751175638631851,0.16112141829951332,3
balanced,event_m3,-3,-0.1259811696363442,0.11337405764684312,0.2664825871443621,-0.3481902394053246,0.09622790013263621,3
balanced,event_m2,-2,-0.28144803846573563,0.13815586485618947,0.04163224390265147,-0.55222855783685,-0.01066751909462127,4
balanced,event_p0,0,-0.2904729110610327,0.1837597649422198,0.11394185496010366,-0.6506354321553296,0.06968961003326418,9
balanced,event_p1,1,-0.3202947887000258,0.22600406999746567,0.15642210713502608,-0.7632546262545279,0.12266504885447627,8
balanced,event_p2,2,-0.3074611662783009,0.1821078832334356,0.09134477711842609,-0.6643860587166602,0.04946372616005845,8
balanced,event_p3,3,-0.2748609529173337,0.1640980676004387,0.09393818969362902,-0.5964872553468127,0.04676534951214528,7
balanced,event_p4,4,-0.17542126025697447,0.12667098724219678,0.16609606027646528,-0.4236918331378128,0.07284931262386388,8
balanced,event_p5,5,-0.38778741177016657,0.17324994965231072,0.02520072722621963,-0.7273510734120732,-0.04822375012825991,9
balanced,event_p6,6,-0.29121191382570594,0.21508564680671524,0.17575722190246768,-0.7127720351583703,0.1303482075069584,5
balanced,event_p7,7,-0.36013715533440505,0.17430529885054627,0.038816342585333286,-0.7017692633959667,-0.018505047272843467,9
balanced,event_p8,8,-0.5292951628776615,0.21688500441425354,0.014669322129157022,-0.9543819603164091,-0.10420836543891399,9
broad,event_m6,-6,0.06506655694581692,0.17163008560390988,0.704606720679228,-0.27132222950137286,0.4014553433930067,5
broad,event_m5,-5,-0.05680647709950637,0.2705730708720273,0.8337076756785549,-0.5871199511950834,0.4735069969960707,3
broad,event_m4,-4,0.32556794879282813,0.13851931459245737,0.0187561011053931,0.054075081028438166,0.5970608165572181,4
broad,event_m3,-3,0.12103639714115962,0.14385323823531734,0.40013057187284495,-0.16091076885952266,0.40298356314184186,4
broad,event_m2,-2,-0.04687282382108543,0.0964782732886234,0.6270819379135532,-0.23596676475740003,0.14222111711522917,8
broad,event_p0,0,-0.027304719731375438,0.1545968695866357,0.8598077947705074,-0.3303090162438171,0.2756995767810662,10
broad,event_p1,1,0.060768852094632675,0.17870496325296376,0.7338179080928666,-0.2894864397397301,0.41102414392899544,10
broad,event_p2,2,0.10396970639559525,0.1391685546974477,0.45501673553211486,-0.1687956485918948,0.3767350613830853,9
broad,event_p3,3,-0.03722159520337043,0.12058432922334261,0.7575673283269494,-0.2735625375810427,0.19911934717430185,12
broad,event_p4,4,-0.030884379090456618,0.15531787648194034,0.8423830070165083,-0.3353018231503003,0.2735330649693871,11
broad,event_p5,5,-0.09138768689746718,0.16799826329516332,0.5864552700567189,-0.4206582324212646,0.23788285862633024,8
broad,event_p6,6,-0.2913661991323934,0.12915513113279234,0.024074402289829478,-0.5445056045712142,-0.03822679369357257,10
broad,event_p7,7,-0.24291829916562718,0.14126893152906597,0.08551516268859155,-0.5198003170970513,0.03396371876579701,11
broad,event_p8,8,-0.36825080029748847,0.1807884469597246,0.04165850477531643,-0.7225896451594784,-0.013911955435498446,10
