metric,value
n_rows_total,360.0
n_rows_analysis,165.0
n_teams_analysis,16.0
switchers_analysis,7.0
treated_share_analysis,0.48484848484848486
event_study_pretrend_joint_pvalue,0.9585867317382591
event_study_nobs,165.0
