model,term,coef_old,coef_new,coef_delta_new_minus_old,se_old,se_new,p_old,p_new,nobs_old,nobs_new
baseline_twfe_real,treated,-0.0728771307885941,0.0462207595154491,0.1190978903040432,0.0957301906714954,0.0608058299240196,0.4464920193531712,0.4471727140770546,68,165
robust_no_controls,treated,-0.0178905068470841,0.0573239283974449,0.075214435244529,0.0604295901675551,0.0528617489737601,0.7671877690452399,0.2781820525503949,68,165
robust_full_controls,treated,-0.0489016914006474,0.0433299975293188,0.0922316889299662,0.1132233662357234,0.0588769828292996,0.6658107597276285,0.4617664812413603,68,165
robust_alt_outcome_merged_share,treated,0.0148661781506483,0.1304145103155161,0.11554833216486779,0.061297914168911,0.0817751979460276,0.8083746325248006,0.1107585409662366,51,106
robust_alt_outcome_ticket_share,treated,-0.0698597683626664,-0.0706613779631396,-0.0008016096004731937,0.0674322696301695,0.0692505578754506,0.3002025782007579,0.307551741339126,49,125
robust_placebo_lead,lead2_treated,-0.4620454094360502,-0.0745752439269765,0.3874701655090737,0.0392385655633176,0.1286307838166218,5.233805431561509e-32,0.5620751084905007,68,165
event_study,pretrend_joint_pvalue,3.679058606994737e-06,0.9585867317382591,0.9585830526796522,,,,,68,165
