metric,value
n_team_week,68.0
n_teams,9.0
n_weeks,11.0
switchers,5.0
adopter_teams,5.0
never_adopter_teams,4.0
mean_junior_output_share,0.8643241633331148
sd_junior_output_share,0.2672126454089944
mean_total_output,4.911764705882353
mean_ai_intensity,0.14842809732605197
treated_share,0.5441176470588235
