term,event_time,coef,se,tstat,pvalue,ci_low_95,ci_high_95,n_event_team_weeks
event_m6,-6,0.0014225470085816178,0.02551178843058414,0.05576037965555698,0.9555326982649877,-0.04857963949656892,0.051424733513732154,38
event_m5,-5,-0.007880783529214341,0.02630929443351786,-0.2995437049491634,0.7645252301784657,-0.05944605307756947,0.04368448601914079,40
event_m4,-4,-0.006260663494039854,0.02688708908726492,-0.23285017852695775,0.8158777468228812,-0.05895838975419901,0.04643706276611931,40
event_m3,-3,0.00045056941351785673,0.029590577970507046,0.015226786511805875,0.9878512515914688,-0.05754589769040028,0.05844703651743599,40
event_m2,-2,-0.017202559162175772,0.027618663477480206,-0.6228599431034181,0.5333765630596943,-0.07133414487916874,0.036929026554817196,38
event_p0,0,0.026966890708495173,0.02226828425342342,1.2109999316336826,0.22589543090141306,-0.016678144425715136,0.07061192584270548,40
event_p1,1,-0.010269780234230592,0.02443660926445116,-0.4202620798610723,0.6742940082544315,-0.05816465429683269,0.0376250938283715,39
event_p2,2,0.01200813115292789,0.02537588234320444,0.473210388924412,0.6360630866107831,-0.03772768431567869,0.06174394662153447,39
event_p3,3,0.02181269129425388,0.02944954569915676,0.7406800606393887,0.45888745195441827,-0.03590735763715982,0.07953274022566759,40
event_p4,4,-0.015843529969421243,0.028345585374151584,-0.5589417103331018,0.5762015019731359,-0.07139985642346366,0.03971279648462117,40
event_p5,5,0.020113444263304893,0.026184263939956882,0.7681500732434954,0.4423980311378456,-0.031206770020701456,0.07143365854731124,39
event_p6,6,-0.01818198026077327,0.02769492424219556,-0.6565094781184303,0.5114963711775051,-0.07246303433004182,0.03609907380849528,39
event_p7,7,0.04958228283431367,0.02620729897262663,1.891926477661894,0.05850077740604571,-0.0017830792841080773,0.10094764495273542,40
event_p8,8,-0.0040053713377704026,0.025601292034274123,-0.15645192173926808,0.875676813379672,-0.05418298168263986,0.046172239007099054,39
